ジャンル	記号	幅	縦	全角	用途
A半角記号	@	P		FF20	半角アットマーク
A半角記号	[	P			半角括弧
A半角記号	\	P			半角円記号
A半角記号	]	P			半角括弧
A半角記号	^	P			半角キャレット
A半角記号	_	P			半角アンダーバー
A半角記号	`	P			半角バッククォート
A半角記号	{	P		FF5B	半角括弧
A半角記号	|	P		FF5C	縦棒
A半角記号	}	P		FF5D	半角括弧
A半角記号	~	P			半角チルダ
Cひらがな・カタカナ	ぁ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	あ	F			ひらがな
Cひらがな・カタカナ	ぃ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	い	F			ひらがな
Cひらがな・カタカナ	ぅ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	う	F			ひらがな
Cひらがな・カタカナ	ぇ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	え	F			ひらがな
Cひらがな・カタカナ	ぉ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	お	F			ひらがな
Cひらがな・カタカナ	か	F			ひらがな
Cひらがな・カタカナ	が	F			ひらがな
Cひらがな・カタカナ	き	F			ひらがな
Cひらがな・カタカナ	ぎ	F			ひらがな
Cひらがな・カタカナ	く	F			ひらがな
Cひらがな・カタカナ	ぐ	F			ひらがな
Cひらがな・カタカナ	け	F			ひらがな
Cひらがな・カタカナ	げ	F			ひらがな
Cひらがな・カタカナ	こ	F			ひらがな
Cひらがな・カタカナ	ご	F			ひらがな
Cひらがな・カタカナ	さ	F			ひらがな
Cひらがな・カタカナ	ざ	F			ひらがな
Cひらがな・カタカナ	し	F			ひらがな
Cひらがな・カタカナ	じ	F			ひらがな
Cひらがな・カタカナ	す	F			ひらがな
Cひらがな・カタカナ	ず	F			ひらがな
Cひらがな・カタカナ	せ	F			ひらがな
Cひらがな・カタカナ	ぜ	F			ひらがな
Cひらがな・カタカナ	そ	F			ひらがな
Cひらがな・カタカナ	ぞ	F			ひらがな
Cひらがな・カタカナ	た	F			ひらがな
Cひらがな・カタカナ	だ	F			ひらがな
Cひらがな・カタカナ	ち	F			ひらがな
Cひらがな・カタカナ	ぢ	F			ひらがな
Cひらがな・カタカナ	っ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	つ	F			ひらがな
Cひらがな・カタカナ	づ	F			ひらがな
Cひらがな・カタカナ	て	F			ひらがな
Cひらがな・カタカナ	で	F			ひらがな
Cひらがな・カタカナ	と	F			ひらがな
Cひらがな・カタカナ	ど	F			ひらがな
Cひらがな・カタカナ	な	F			ひらがな
Cひらがな・カタカナ	に	F			ひらがな
Cひらがな・カタカナ	ぬ	F			ひらがな
Cひらがな・カタカナ	ね	F			ひらがな
Cひらがな・カタカナ	の	F			ひらがな
Cひらがな・カタカナ	は	F			ひらがな
Cひらがな・カタカナ	ば	F			ひらがな
Cひらがな・カタカナ	ぱ	F			ひらがな
Cひらがな・カタカナ	ひ	F			ひらがな
Cひらがな・カタカナ	び	F			ひらがな
Cひらがな・カタカナ	ぴ	F			ひらがな
Cひらがな・カタカナ	ふ	F			ひらがな
Cひらがな・カタカナ	ぶ	F			ひらがな
Cひらがな・カタカナ	ぷ	F			ひらがな
Cひらがな・カタカナ	へ	F			ひらがな
Cひらがな・カタカナ	べ	F			ひらがな
Cひらがな・カタカナ	ぺ	F			ひらがな
Cひらがな・カタカナ	ほ	F			ひらがな
Cひらがな・カタカナ	ぼ	F			ひらがな
Cひらがな・カタカナ	ぽ	F			ひらがな
Cひらがな・カタカナ	ま	F			ひらがな
Cひらがな・カタカナ	み	F			ひらがな
Cひらがな・カタカナ	む	F			ひらがな
Cひらがな・カタカナ	め	F			ひらがな
Cひらがな・カタカナ	も	F			ひらがな
Cひらがな・カタカナ	ゃ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	や	F			ひらがな
Cひらがな・カタカナ	ゅ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	ゆ	F			ひらがな
Cひらがな・カタカナ	ょ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	よ	F			ひらがな
Cひらがな・カタカナ	ら	F			ひらがな
Cひらがな・カタカナ	り	F			ひらがな
Cひらがな・カタカナ	る	F			ひらがな
Cひらがな・カタカナ	れ	F			ひらがな
Cひらがな・カタカナ	ろ	F			ひらがな
Cひらがな・カタカナ	ゎ	F	V		ひらがな（小さい）
Cひらがな・カタカナ	わ	F			ひらがな
Cひらがな・カタカナ	ゐ	F			ひらがな
Cひらがな・カタカナ	ゑ	F			ひらがな
Cひらがな・カタカナ	を	F			ひらがな
Cひらがな・カタカナ	ん	F			ひらがな
Cひらがな・カタカナ	ァ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ア	F			カタカナ
Cひらがな・カタカナ	ィ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	イ	F			カタカナ
Cひらがな・カタカナ	ゥ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ウ	F			カタカナ
Cひらがな・カタカナ	ェ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	エ	F			カタカナ
Cひらがな・カタカナ	ォ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	オ	F			カタカナ
Cひらがな・カタカナ	カ	F			カタカナ
Cひらがな・カタカナ	ガ	F			カタカナ
Cひらがな・カタカナ	キ	F			カタカナ
Cひらがな・カタカナ	ギ	F			カタカナ
Cひらがな・カタカナ	ク	F			カタカナ
Cひらがな・カタカナ	グ	F			カタカナ
Cひらがな・カタカナ	ケ	F			カタカナ
Cひらがな・カタカナ	ゲ	F			カタカナ
Cひらがな・カタカナ	コ	F			カタカナ
Cひらがな・カタカナ	ゴ	F			カタカナ
Cひらがな・カタカナ	サ	F			カタカナ
Cひらがな・カタカナ	ザ	F			カタカナ
Cひらがな・カタカナ	シ	F			カタカナ
Cひらがな・カタカナ	ジ	F			カタカナ
Cひらがな・カタカナ	ス	F			カタカナ
Cひらがな・カタカナ	ズ	F			カタカナ
Cひらがな・カタカナ	セ	F			カタカナ
Cひらがな・カタカナ	ゼ	F			カタカナ
Cひらがな・カタカナ	ソ	F			カタカナ
Cひらがな・カタカナ	ゾ	F			カタカナ
Cひらがな・カタカナ	タ	F			カタカナ
Cひらがな・カタカナ	ダ	F			カタカナ
Cひらがな・カタカナ	チ	F			カタカナ
Cひらがな・カタカナ	ヂ	F			カタカナ
Cひらがな・カタカナ	ッ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ツ	F			カタカナ
Cひらがな・カタカナ	ヅ	F			カタカナ
Cひらがな・カタカナ	テ	F			カタカナ
Cひらがな・カタカナ	デ	F			カタカナ
Cひらがな・カタカナ	ト	F			カタカナ
Cひらがな・カタカナ	ド	F			カタカナ
Cひらがな・カタカナ	ナ	F			カタカナ
Cひらがな・カタカナ	ニ	F			カタカナ
Cひらがな・カタカナ	ヌ	F			カタカナ
Cひらがな・カタカナ	ネ	F			カタカナ
Cひらがな・カタカナ	ノ	F			カタカナ
Cひらがな・カタカナ	ハ	F			カタカナ
Cひらがな・カタカナ	バ	F			カタカナ
Cひらがな・カタカナ	パ	F			カタカナ
Cひらがな・カタカナ	ヒ	F			カタカナ
Cひらがな・カタカナ	ビ	F			カタカナ
Cひらがな・カタカナ	ピ	F			カタカナ
Cひらがな・カタカナ	フ	F			カタカナ
Cひらがな・カタカナ	ブ	F			カタカナ
Cひらがな・カタカナ	プ	F			カタカナ
Cひらがな・カタカナ	ヘ	F			カタカナ
Cひらがな・カタカナ	ベ	F			カタカナ
Cひらがな・カタカナ	ペ	F			カタカナ
Cひらがな・カタカナ	ホ	F			カタカナ
Cひらがな・カタカナ	ボ	F			カタカナ
Cひらがな・カタカナ	ポ	F			カタカナ
Cひらがな・カタカナ	マ	F			カタカナ
Cひらがな・カタカナ	ミ	F			カタカナ
Cひらがな・カタカナ	ム	F			カタカナ
Cひらがな・カタカナ	メ	F			カタカナ
Cひらがな・カタカナ	モ	F			カタカナ
Cひらがな・カタカナ	ャ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ヤ	F			カタカナ
Cひらがな・カタカナ	ュ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ユ	F			カタカナ
Cひらがな・カタカナ	ョ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ヨ	F			カタカナ
Cひらがな・カタカナ	ラ	F			カタカナ
Cひらがな・カタカナ	リ	F			カタカナ
Cひらがな・カタカナ	ル	F			カタカナ
Cひらがな・カタカナ	レ	F			カタカナ
Cひらがな・カタカナ	ロ	F			カタカナ
Cひらがな・カタカナ	ヮ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ワ	F			カタカナ
Cひらがな・カタカナ	ヰ	F			カタカナ
Cひらがな・カタカナ	ヱ	F			カタカナ
Cひらがな・カタカナ	ヲ	F			カタカナ
Cひらがな・カタカナ	ン	F			カタカナ
Cひらがな・カタカナ	ヴ	F			カタカナ
Cひらがな・カタカナ	ヵ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ヶ	F	V		カタカナ（小さい）
Cひらがな・カタカナ	ー	F	V		音引き
Cひらがな・カタカナ	ヽ	F			カタカナ繰り返し
Cひらがな・カタカナ	ヾ	F			カタカナ繰り返し（濁音）
Cひらがな・カタカナ	ゝ	F			ひらがな繰り返し
Cひらがな・カタカナ	ゞ	F			ひらがな繰り返し（濁音）
D基本記号	、	F	V		読点
D基本記号	。	F	V		句点
D基本記号	，	F	V		全角コンマ
D基本記号	．	F	V		全角ピリオド
D基本記号	・	F			中黒
D基本記号	？	F			全角はてな
D基本記号	！	F			全角びっくりマーク
D基本記号	゛	F			全角濁点
D基本記号	゜	F			全角半濁点
D基本記号	〃	F			同じく記号
D基本記号	仝	F			同上記号
D基本記号	々	F			漢字繰り返し記号
D基本記号	〆	F			しめきり
D基本記号	〇	F			漢数字ゼロ
D基本記号	―	F			ダッシュ
D基本記号	‐	P			ハイフン
D基本記号	／	F			全角スラッシュ
D基本記号	＼	F			全角バックスラッシュ
D基本記号	～	F	V		全角チルダ
D基本記号	〜	F	V		波ダッシュ
D基本記号	…	F	V		三点リーダー
D基本記号	‥	F	V		二点リーダー
D基本記号	‘	P			シングルクォート
D基本記号	’	P			シングルクォート
D基本記号	“	P			ダブルクォート
D基本記号	”	P			ダブルクォート
D基本記号	（	P	V		括弧系
D基本記号	）	P	V		括弧系
D基本記号	〔	P	V		括弧系
D基本記号	〕	P	V		括弧系
D基本記号	［	P	V		括弧系
D基本記号	］	P	V		括弧系
D基本記号	〈	P	V		括弧系
D基本記号	〉	P	V		括弧系
D基本記号	《	P	V		括弧系
D基本記号	》	P	V		括弧系
D基本記号	「	P	V		括弧系
D基本記号	」	P	V		括弧系
D基本記号	『	P	V		括弧系
D基本記号	』	P	V		括弧系
D基本記号	【	P	V		括弧系
D基本記号	】	P	V		括弧系
D基本記号	＋	F			全角プラス
D基本記号	－	F			全角マイナス
D基本記号	±	F			プラスマイナス
D基本記号	×	F			バツ
D基本記号	÷	F			割る
D基本記号	＝	F			全角イコール
D基本記号	≠	F			等しくない
D基本記号	＜	F			全角小なり
D基本記号	＞	F			全角大なり
D基本記号	≦	F			以下
D基本記号	≧	F			以上
D基本記号	∞	F			無限大
D基本記号	∴	F			ゆえに
D基本記号	♂	F			オス
D基本記号	♀	F			メス
D基本記号	°	P			度
D基本記号	′	P			分
D基本記号	″	P			秒
D基本記号	℃	F			セ氏度
D基本記号	￥	F			円記号
D基本記号	￠	F			セント記号
D基本記号	￡	F			ポンド記号
D基本記号	§	F			節記号
D基本記号	☆	F			白星
D基本記号	★	F			黒星
D基本記号	○	F			白丸
D基本記号	●	F			黒丸
D基本記号	◎	F			二重丸
D基本記号	◇	F			ひし
D基本記号	◆	F			黒ひし
D基本記号	□	F			白四角
D基本記号	■	F			黒四角
D基本記号	△	F			白三角
D基本記号	▲	F			黒三角
D基本記号	▽	F			白三角
D基本記号	▼	F			黒三角
D基本記号	※	F			米印
D基本記号	〒	F			郵便マーク
D基本記号	→	F			矢印
D基本記号	←	F			矢印
D基本記号	↑	F			矢印
D基本記号	↓	F			矢印
D基本記号	≡	F			合同
D基本記号	≒	F			ほとんど等しい
D基本記号	√	P			ルート
D基本記号	∵	F			なぜならば
D基本記号	♪	P			音符
Fその他の記号	´	P			プライム符号
Fその他の記号	｀	P			グレーブアクセント
Fその他の記号	¨	F			ウムライト
Fその他の記号	＾	F			全角キャレット
Fその他の記号	￣	F			全角オーバーライン
Fその他の記号	＿	F			全角アンダーライン
Fその他の記号	∥	F			平行
Fその他の記号	〓	F			下駄記号
Fその他の記号	∈	P			属する
Fその他の記号	∋	P			元として含む
Fその他の記号	⊆	P			部分集合
Fその他の記号	⊇	P			部分集合
Fその他の記号	⊂	P			部分集合
Fその他の記号	⊃	P			部分集合
Fその他の記号	∪	P			合併集合
Fその他の記号	∩	P			共通集合
Fその他の記号	∧	P			及び
Fその他の記号	∨	P			または
Fその他の記号	￢	P			否定
Fその他の記号	⇒	P			ならば
Fその他の記号	⇔	P			同値
Fその他の記号	∀	P			すべての
Fその他の記号	∃	P			存在する
Fその他の記号	∠	P			角
Fその他の記号	⊥	P			垂直
Fその他の記号	⌒	P			弧
Fその他の記号	∂	P			デル
Fその他の記号	∇	P			ナブラ
Fその他の記号	≪	P			非常に小さい
Fその他の記号	≫	P			非常に大きい
Fその他の記号	∽	P			相似
Fその他の記号	∝	P			比例
Fその他の記号	∫	P			積分
Fその他の記号	∬	P			二重積分
Fその他の記号	Å	P			オングストローム
Fその他の記号	‰	P			パーミル
Fその他の記号	♯	P			シャープ
Fその他の記号	♭	P			フラット
Fその他の記号	†	P			ダガー
Fその他の記号	‡	P			ダブルダガー
Fその他の記号	¶	P			段落記号
Fその他の記号	◯	F			合成用丸
Fその他の記号	─	F			罫線
Fその他の記号	│	F			罫線
Fその他の記号	┌	F			罫線
Fその他の記号	┐	F			罫線
Fその他の記号	┘	F			罫線
Fその他の記号	└	F			罫線
Fその他の記号	├	F			罫線
Fその他の記号	┬	F			罫線
Fその他の記号	┤	F			罫線
Fその他の記号	┴	F			罫線
Fその他の記号	┼	F			罫線
Fその他の記号	━	F			罫線
Fその他の記号	┃	F			罫線
Fその他の記号	┏	F			罫線
Fその他の記号	┓	F			罫線
Fその他の記号	┛	F			罫線
Fその他の記号	┗	F			罫線
Fその他の記号	┣	F			罫線
Fその他の記号	┳	F			罫線
Fその他の記号	┫	F			罫線
Fその他の記号	┻	F			罫線
Fその他の記号	╋	F			罫線
Fその他の記号	┠	F			罫線
Fその他の記号	┯	F			罫線
Fその他の記号	┨	F			罫線
Fその他の記号	┷	F			罫線
Fその他の記号	┿	F			罫線
Fその他の記号	┝	F			罫線
Fその他の記号	┰	F			罫線
Fその他の記号	┥	F			罫線
Fその他の記号	┸	F			罫線
Fその他の記号	╂	F			罫線
Jギリシャ・キリル文字	Α	P			ギリシャ文字
Jギリシャ・キリル文字	Β	P			ギリシャ文字
Jギリシャ・キリル文字	Γ	P			ギリシャ文字
Jギリシャ・キリル文字	Δ	P			ギリシャ文字
Jギリシャ・キリル文字	Ε	P			ギリシャ文字
Jギリシャ・キリル文字	Ζ	P			ギリシャ文字
Jギリシャ・キリル文字	Η	P			ギリシャ文字
Jギリシャ・キリル文字	Θ	P			ギリシャ文字
Jギリシャ・キリル文字	Ι	P			ギリシャ文字
Jギリシャ・キリル文字	Κ	P			ギリシャ文字
Jギリシャ・キリル文字	Λ	P			ギリシャ文字
Jギリシャ・キリル文字	Μ	P			ギリシャ文字
Jギリシャ・キリル文字	Ν	P			ギリシャ文字
Jギリシャ・キリル文字	Ξ	P			ギリシャ文字
Jギリシャ・キリル文字	Ο	P			ギリシャ文字
Jギリシャ・キリル文字	Π	P			ギリシャ文字
Jギリシャ・キリル文字	Ρ	P			ギリシャ文字
Jギリシャ・キリル文字	Σ	P			ギリシャ文字
Jギリシャ・キリル文字	Τ	P			ギリシャ文字
Jギリシャ・キリル文字	Υ	P			ギリシャ文字
Jギリシャ・キリル文字	Φ	P			ギリシャ文字
Jギリシャ・キリル文字	Χ	P			ギリシャ文字
Jギリシャ・キリル文字	Ψ	P			ギリシャ文字
Jギリシャ・キリル文字	Ω	P			ギリシャ文字
Jギリシャ・キリル文字	α	P			ギリシャ文字
Jギリシャ・キリル文字	β	P			ギリシャ文字
Jギリシャ・キリル文字	γ	P			ギリシャ文字
Jギリシャ・キリル文字	δ	P			ギリシャ文字
Jギリシャ・キリル文字	ε	P			ギリシャ文字
Jギリシャ・キリル文字	ζ	P			ギリシャ文字
Jギリシャ・キリル文字	η	P			ギリシャ文字
Jギリシャ・キリル文字	θ	P			ギリシャ文字
Jギリシャ・キリル文字	ι	P			ギリシャ文字
Jギリシャ・キリル文字	κ	P			ギリシャ文字
Jギリシャ・キリル文字	λ	P			ギリシャ文字
Jギリシャ・キリル文字	μ	P			ギリシャ文字
Jギリシャ・キリル文字	ν	P			ギリシャ文字
Jギリシャ・キリル文字	ξ	P			ギリシャ文字
Jギリシャ・キリル文字	ο	P			ギリシャ文字
Jギリシャ・キリル文字	π	P			ギリシャ文字
Jギリシャ・キリル文字	ρ	P			ギリシャ文字
Jギリシャ・キリル文字	σ	P			ギリシャ文字
Jギリシャ・キリル文字	τ	P			ギリシャ文字
Jギリシャ・キリル文字	υ	P			ギリシャ文字
Jギリシャ・キリル文字	φ	P			ギリシャ文字
Jギリシャ・キリル文字	χ	P			ギリシャ文字
Jギリシャ・キリル文字	ψ	P			ギリシャ文字
Jギリシャ・キリル文字	ω	P			ギリシャ文字
Jギリシャ・キリル文字	А	P			キリル文字
Jギリシャ・キリル文字	Б	P			キリル文字
Jギリシャ・キリル文字	В	P			キリル文字
Jギリシャ・キリル文字	Г	P			キリル文字
Jギリシャ・キリル文字	Д	P			キリル文字
Jギリシャ・キリル文字	Е	P			キリル文字
Jギリシャ・キリル文字	Ё	P			キリル文字
Jギリシャ・キリル文字	Ж	P			キリル文字
Jギリシャ・キリル文字	З	P			キリル文字
Jギリシャ・キリル文字	И	P			キリル文字
Jギリシャ・キリル文字	Й	P			キリル文字
Jギリシャ・キリル文字	К	P			キリル文字
Jギリシャ・キリル文字	Л	P			キリル文字
Jギリシャ・キリル文字	М	P			キリル文字
Jギリシャ・キリル文字	Н	P			キリル文字
Jギリシャ・キリル文字	О	P			キリル文字
Jギリシャ・キリル文字	П	P			キリル文字
Jギリシャ・キリル文字	Р	P			キリル文字
Jギリシャ・キリル文字	С	P			キリル文字
Jギリシャ・キリル文字	Т	P			キリル文字
Jギリシャ・キリル文字	У	P			キリル文字
Jギリシャ・キリル文字	Ф	P			キリル文字
Jギリシャ・キリル文字	Х	P			キリル文字
Jギリシャ・キリル文字	Ц	P			キリル文字
Jギリシャ・キリル文字	Ч	P			キリル文字
Jギリシャ・キリル文字	Ш	P			キリル文字
Jギリシャ・キリル文字	Щ	P			キリル文字
Jギリシャ・キリル文字	Ъ	P			キリル文字
Jギリシャ・キリル文字	Ы	P			キリル文字
Jギリシャ・キリル文字	Ь	P			キリル文字
Jギリシャ・キリル文字	Э	P			キリル文字
Jギリシャ・キリル文字	Ю	P			キリル文字
Jギリシャ・キリル文字	Я	P			キリル文字
Jギリシャ・キリル文字	а	P			キリル文字
Jギリシャ・キリル文字	б	P			キリル文字
Jギリシャ・キリル文字	в	P			キリル文字
Jギリシャ・キリル文字	г	P			キリル文字
Jギリシャ・キリル文字	д	P			キリル文字
Jギリシャ・キリル文字	е	P			キリル文字
Jギリシャ・キリル文字	ё	P			キリル文字
Jギリシャ・キリル文字	ж	P			キリル文字
Jギリシャ・キリル文字	з	P			キリル文字
Jギリシャ・キリル文字	и	P			キリル文字
Jギリシャ・キリル文字	й	P			キリル文字
Jギリシャ・キリル文字	к	P			キリル文字
Jギリシャ・キリル文字	л	P			キリル文字
Jギリシャ・キリル文字	м	P			キリル文字
Jギリシャ・キリル文字	н	P			キリル文字
Jギリシャ・キリル文字	о	P			キリル文字
Jギリシャ・キリル文字	п	P			キリル文字
Jギリシャ・キリル文字	р	P			キリル文字
Jギリシャ・キリル文字	с	P			キリル文字
Jギリシャ・キリル文字	т	P			キリル文字
Jギリシャ・キリル文字	у	P			キリル文字
Jギリシャ・キリル文字	ф	P			キリル文字
Jギリシャ・キリル文字	х	P			キリル文字
Jギリシャ・キリル文字	ц	P			キリル文字
Jギリシャ・キリル文字	ч	P			キリル文字
Jギリシャ・キリル文字	ш	P			キリル文字
Jギリシャ・キリル文字	щ	P			キリル文字
Jギリシャ・キリル文字	ъ	P			キリル文字
Jギリシャ・キリル文字	ы	P			キリル文字
Jギリシャ・キリル文字	ь	P			キリル文字
Jギリシャ・キリル文字	э	P			キリル文字
Jギリシャ・キリル文字	ю	P			キリル文字
Jギリシャ・キリル文字	я	P			キリル文字
X機種依存文字	｡	H			半角句点
X機種依存文字	｢	H			半角カギ括弧
X機種依存文字	｣	H			半角カギ括弧
X機種依存文字	､	H			半角読点
X機種依存文字	･	H			半角中黒
X機種依存文字	ｦ	H			半角カタカナ
X機種依存文字	ｧ	H			半角カタカナ(小)
X機種依存文字	ｨ	H			半角カタカナ(小)
X機種依存文字	ｩ	H			半角カタカナ(小)
X機種依存文字	ｪ	H			半角カタカナ(小)
X機種依存文字	ｫ	H			半角カタカナ(小)
X機種依存文字	ｬ	H			半角カタカナ(小)
X機種依存文字	ｭ	H			半角カタカナ(小)
X機種依存文字	ｮ	H			半角カタカナ(小)
X機種依存文字	ｯ	H			半角カタカナ(小)
X機種依存文字	ｰ	H			半角音引き
X機種依存文字	ｱ	H			半角カタカナ
X機種依存文字	ｲ	H			半角カタカナ
X機種依存文字	ｳ	H			半角カタカナ
X機種依存文字	ｴ	H			半角カタカナ
X機種依存文字	ｵ	H			半角カタカナ
X機種依存文字	ｶ	H			半角カタカナ
X機種依存文字	ｷ	H			半角カタカナ
X機種依存文字	ｸ	H			半角カタカナ
X機種依存文字	ｹ	H			半角カタカナ
X機種依存文字	ｺ	H			半角カタカナ
X機種依存文字	ｻ	H			半角カタカナ
X機種依存文字	ｼ	H			半角カタカナ
X機種依存文字	ｽ	H			半角カタカナ
X機種依存文字	ｾ	H			半角カタカナ
X機種依存文字	ｿ	H			半角カタカナ
X機種依存文字	ﾀ	H			半角カタカナ
X機種依存文字	ﾁ	H			半角カタカナ
X機種依存文字	ﾂ	H			半角カタカナ
X機種依存文字	ﾃ	H			半角カタカナ
X機種依存文字	ﾄ	H			半角カタカナ
X機種依存文字	ﾅ	H			半角カタカナ
X機種依存文字	ﾆ	H			半角カタカナ
X機種依存文字	ﾇ	H			半角カタカナ
X機種依存文字	ﾈ	H			半角カタカナ
X機種依存文字	ﾉ	H			半角カタカナ
X機種依存文字	ﾊ	H			半角カタカナ
X機種依存文字	ﾋ	H			半角カタカナ
X機種依存文字	ﾌ	H			半角カタカナ
X機種依存文字	ﾍ	H			半角カタカナ
X機種依存文字	ﾎ	H			半角カタカナ
X機種依存文字	ﾏ	H			半角カタカナ
X機種依存文字	ﾐ	H			半角カタカナ
X機種依存文字	ﾑ	H			半角カタカナ
X機種依存文字	ﾒ	H			半角カタカナ
X機種依存文字	ﾓ	H			半角カタカナ
X機種依存文字	ﾔ	H			半角カタカナ
X機種依存文字	ﾕ	H			半角カタカナ
X機種依存文字	ﾖ	H			半角カタカナ
X機種依存文字	ﾗ	H			半角カタカナ
X機種依存文字	ﾘ	H			半角カタカナ
X機種依存文字	ﾙ	H			半角カタカナ
X機種依存文字	ﾚ	H			半角カタカナ
X機種依存文字	ﾛ	H			半角カタカナ
X機種依存文字	ﾜ	H			半角カタカナ
X機種依存文字	ﾝ	H			半角カタカナ
X機種依存文字	ﾞ	H			半角濁音
X機種依存文字	ﾟ	H			半角半濁音
X機種依存文字	①	F			丸数字
X機種依存文字	②	F			丸数字
X機種依存文字	③	F			丸数字
X機種依存文字	④	F			丸数字
X機種依存文字	⑤	F			丸数字
X機種依存文字	⑥	F			丸数字
X機種依存文字	⑦	F			丸数字
X機種依存文字	⑧	F			丸数字
X機種依存文字	⑨	F			丸数字
X機種依存文字	⑩	F			丸数字
X機種依存文字	⑪	F			丸数字
X機種依存文字	⑫	F			丸数字
X機種依存文字	⑬	F			丸数字
X機種依存文字	⑭	F			丸数字
X機種依存文字	⑮	F			丸数字
X機種依存文字	⑯	F			丸数字
X機種依存文字	⑰	F			丸数字
X機種依存文字	⑱	F			丸数字
X機種依存文字	⑲	F			丸数字
X機種依存文字	⑳	F			丸数字
X機種依存文字	Ⅰ	F			ローマ数字
X機種依存文字	Ⅱ	F			ローマ数字
